"Tissue","Cell_type","Category","Change","Chromosome","Start","End","Annotation","Gene.ID","Symbol","Correlated_Start","Correlated_End","Correlated_Annotation","Correlated_Gene.ID","Correlated_Symbol","Correlation"
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr16",57372157,57372657,"Promoter (<=1kb)",6376,"CX3CL1",57383780,57384280,"3' UTR",6376,"CX3CL1",0.563152919
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr16",57372157,57372657,"Promoter (<=1kb)",6376,"CX3CL1",57374175,57374675,"Promoter (1-2kb)",6376,"CX3CL1",0.51163878
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr16",57372761,57373261,"Promoter (<=1kb)",6376,"CX3CL1",57383780,57384280,"3' UTR",6376,"CX3CL1",0.519914855
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr16",57372761,57373261,"Promoter (<=1kb)",6376,"CX3CL1",57372157,57372657,"Promoter (<=1kb)",6376,"CX3CL1",0.605471741
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr16",67393352,67393852,"Promoter (<=1kb)",51673,"TPPP3",67443194,67443694,"Promoter (<=1kb)",9114,"ATP6V0D1",0.635865613
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr14",68785927,68786427,"Distal Intergenic",677,"ZFP36L1",68787024,68787524,"Distal Intergenic",677,"ZFP36L1",0.512014448
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr8",74810662,74811162,"Intron (ENST00000523442.5/441355, intron 6 of 6)",51050,"PI15",74825342,74825842,"Promoter (<=1kb)",51050,"PI15",0.589780871
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr14",75282574,75283074,"Promoter (2-3kb)",2353,"FOS",75285878,75286378,"Distal Intergenic",2353,"FOS",0.663187814
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr14",75282574,75283074,"Promoter (2-3kb)",2353,"FOS",75276291,75276791,"Promoter (2-3kb)",2353,"FOS",0.587594986
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr14",75282574,75283074,"Promoter (2-3kb)",2353,"FOS",75281725,75282225,"Promoter (1-2kb)",2353,"FOS",0.746148983
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr17",82229334,82229834,"Promoter (<=1kb)",9123,"SLC16A3",82228723,82229223,"Promoter (<=1kb)",9123,"SLC16A3",0.523496596
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr15",99096719,99097219,"Promoter (<=1kb)",23336,"SYNM",99104770,99105270,"Promoter (<=1kb)",23336,"SYNM",0.548734814
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr15",99096719,99097219,"Promoter (<=1kb)",23336,"SYNM",99105900,99106400,"Promoter (<=1kb)",105371016,"SYNM-AS1",0.563857745
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr15",99096719,99097219,"Promoter (<=1kb)",23336,"SYNM",99106422,99106922,"Promoter (<=1kb)",105371016,"SYNM-AS1",0.516668432
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr10",121995312,121995812,"Promoter (<=1kb)",10579,"TACC2",122034095,122034595,"Intron (ENST00000369005.6/10579, intron 2 of 22)",10579,"TACC2",0.609785309
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr5",138469855,138470355,"Distal Intergenic",1958,"EGR1",138466695,138467195,"Promoter (1-2kb)",1958,"EGR1",0.532529344
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr5",138469855,138470355,"Distal Intergenic",1958,"EGR1",138465970,138466470,"Promoter (<=1kb)",1958,"EGR1",0.609664964
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr5",138469855,138470355,"Distal Intergenic",1958,"EGR1",138461770,138462270,"Distal Intergenic",1958,"EGR1",0.532339116
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr5",138469855,138470355,"Distal Intergenic",1958,"EGR1",138468675,138469175,"3' UTR",1958,"EGR1",0.635698148
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr6",160356297,160356797,"Intron (ENST00000275300.3/6581, intron 1 of 10)",6581,"SLC22A3",160391448,160391948,"Intron (ENST00000275300.3/6581, intron 1 of 10)",6581,"SLC22A3",0.509287087
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr6",160391448,160391948,"Intron (ENST00000275300.3/6581, intron 1 of 10)",6581,"SLC22A3",160356297,160356797,"Intron (ENST00000275300.3/6581, intron 1 of 10)",6581,"SLC22A3",0.509287087
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr2",176130393,176130893,"Promoter (<=1kb)",3234,"HOXD8",176129421,176129921,"Promoter (<=1kb)",3234,"HOXD8",0.595307094
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr5",178553569,178554069,"Intron (ENST00000679896.1/91522, intron 2 of 27)",91522,"COL23A1",178552987,178553487,"Intron (ENST00000679896.1/91522, intron 2 of 27)",91522,"COL23A1",0.586021661
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr1",203310096,203310596,"Distal Intergenic",7832,"BTG2",203312610,203313110,"Distal Intergenic",7832,"BTG2",0.552633465
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr1",203310096,203310596,"Distal Intergenic",7832,"BTG2",203308518,203309018,"Promoter (2-3kb)",7832,"BTG2",0.520193994
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr1",203310096,203310596,"Distal Intergenic",7832,"BTG2",203309136,203309636,"3' UTR",7832,"BTG2",0.667942773
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr1",203310096,203310596,"Distal Intergenic",7832,"BTG2",203311862,203312362,"Distal Intergenic",7832,"BTG2",0.507946097
"Colon-Sigmoid","Stromal Smooth Muscle Cells","old vs mid","INCREASE","chr1",203311862,203312362,"Distal Intergenic",7832,"BTG2",203310096,203310596,"Distal Intergenic",7832,"BTG2",0.507946097
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr20",8131855,8132355,"Promoter (<=1kb)",23236,"PLCB1",8132397,8132897,"Promoter (<=1kb)",23236,"PLCB1",0.606180612
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr7",13990139,13990639,"Promoter (<=1kb)",2115,"ETV1",13991194,13991694,"Promoter (<=1kb)",2115,"ETV1",0.607370705
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr21",14523183,14523683,"5' UTR",64092,"SAMSN1",14527944,14528444,"Intron (ENST00000400566.6/64092, intron 1 of 7)",64092,"SAMSN1",0.501012635
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr10",17238898,17239398,"Distal Intergenic",7431,"VIM",17200356,17200856,"Promoter (<=1kb)",1787,"TRDMT1",0.633687302
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr10",30455703,30456203,"Intron (ENST00000542547.5/1326, intron 5 of 7)",1326,"MAP3K8",30438024,30438524,"Promoter (<=1kb)",1326,"MAP3K8",0.504390235
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr12",46267986,46268486,"Promoter (<=1kb)",81539,"SLC38A1",46268514,46269014,"Promoter (<=1kb)",81539,"SLC38A1",0.632974898
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr2",54724452,54724952,"Promoter (<=1kb)",400954,"EML6",54723799,54724299,"Promoter (<=1kb)",400954,"EML6",0.51066189
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr2",54958592,54959092,"Intron (ENST00000356458.7/400954, intron 33 of 41)",400954,"EML6",54977049,54977549,"Promoter (2-3kb)",57142,"RTN4",0.519886068
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr2",63591484,63591984,"Promoter (2-3kb)",4190,"MDH1",63588636,63589136,"Promoter (<=1kb)",4190,"MDH1",0.520010196
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr4",89290700,89291200,"Intron (ENST00000609438.2/285513, intron 1 of 1)",285513,"GPRIN3",89299118,89299618,"Intron (ENST00000609438.2/285513, intron 1 of 1)",285513,"GPRIN3",0.588924993
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr4",89290700,89291200,"Intron (ENST00000609438.2/285513, intron 1 of 1)",285513,"GPRIN3",89307569,89308069,"Promoter (<=1kb)",285513,"GPRIN3",0.5005134
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr4",89290700,89291200,"Intron (ENST00000609438.2/285513, intron 1 of 1)",285513,"GPRIN3",89297581,89298081,"Intron (ENST00000609438.2/285513, intron 1 of 1)",285513,"GPRIN3",0.512648265
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr4",89290700,89291200,"Intron (ENST00000609438.2/285513, intron 1 of 1)",285513,"GPRIN3",89294432,89294932,"Intron (ENST00000609438.2/285513, intron 1 of 1)",285513,"GPRIN3",0.551278321
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr4",89290700,89291200,"Intron (ENST00000609438.2/285513, intron 1 of 1)",285513,"GPRIN3",89316755,89317255,"Distal Intergenic",285513,"GPRIN3",0.651106475
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr4",89290700,89291200,"Intron (ENST00000609438.2/285513, intron 1 of 1)",285513,"GPRIN3",89307039,89307539,"Promoter (<=1kb)",285513,"GPRIN3",0.590101584
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr10",95432205,95432705,"Exon (ENST00000371227.8/10580, exon 6 of 32)",10580,"SORBS1",95431508,95432008,"Intron (ENST00000371227.8/10580, intron 6 of 31)",10580,"SORBS1",0.545257129
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr2",157440337,157440837,"Promoter (<=1kb)",9595,"CYTIP",157472099,157472599,"Intron (ENST00000497432.5/105373712, intron 3 of 6)",105373712,"LOC105373712",0.564699153
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr2",157440337,157440837,"Promoter (<=1kb)",9595,"CYTIP",157472765,157473265,"Intron (ENST00000497432.5/105373712, intron 3 of 6)",105373712,"LOC105373712",0.538146471
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr1",192539671,192540171,"Intron (ENST00000642855.1/105371664, intron 4 of 7)",5996,"RGS1",192575494,192575994,"Promoter (<=1kb)",5996,"RGS1",0.609032523
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr3",192917748,192918248,"Promoter (<=1kb)",151963,"MB21D2",192916887,192917387,"Promoter (<=1kb)",151963,"MB21D2",0.602198186
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr3",192917748,192918248,"Promoter (<=1kb)",151963,"MB21D2",192896240,192896740,"Intron (ENST00000392452.3/151963, intron 1 of 1)",151963,"MB21D2",0.50217241
"Colon-Transverse","B Lymphocyte","old vs mid","DECREASE","chr3",192917748,192918248,"Promoter (<=1kb)",151963,"MB21D2",192898603,192899103,"Intron (ENST00000392452.3/151963, intron 1 of 1)",151963,"MB21D2",0.560991841
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr11",236193,236693,"Promoter (<=1kb)",23410,"SIRT3",207226,207726,"Promoter (<=1kb)",388572,"LOC388572",0.570915865
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr6",391437,391937,"Promoter (<=1kb)",3662,"IRF4",399774,400274,"Intron (ENST00000380956.9/3662, intron 6 of 8)",3662,"IRF4",0.565900029
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr11",535427,535927,"Promoter (<=1kb)",3265,"HRAS",507085,507585,"Promoter (<=1kb)",6050,"RNH1",0.646570282
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr11",535427,535927,"Promoter (<=1kb)",3265,"HRAS",537174,537674,"Promoter (<=1kb)",115399,"LRRC56",0.664429835
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr11",535427,535927,"Promoter (<=1kb)",3265,"HRAS",568335,568835,"Promoter (<=1kb)",100506211,"MIR210HG",0.734540449
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr11",535427,535927,"Promoter (<=1kb)",3265,"HRAS",575747,576247,"Promoter (<=1kb)",57661,"PHRF1",0.641965406
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr11",537174,537674,"Promoter (<=1kb)",115399,"LRRC56",568335,568835,"Promoter (<=1kb)",100506211,"MIR210HG",0.780951114
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr11",537174,537674,"Promoter (<=1kb)",115399,"LRRC56",506183,506683,"Promoter (<=1kb)",6050,"RNH1",0.504942393
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr11",537174,537674,"Promoter (<=1kb)",115399,"LRRC56",575747,576247,"Promoter (<=1kb)",57661,"PHRF1",0.603324541
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr11",537174,537674,"Promoter (<=1kb)",115399,"LRRC56",507085,507585,"Promoter (<=1kb)",6050,"RNH1",0.620428394
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr11",537174,537674,"Promoter (<=1kb)",115399,"LRRC56",535427,535927,"Promoter (<=1kb)",3265,"HRAS",0.664429835
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr11",537174,537674,"Promoter (<=1kb)",115399,"LRRC56",518597,519097,"Distal Intergenic",6050,"RNH1",0.515278761
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr11",615866,616366,"Promoter (<=1kb)",3665,"IRF7",575747,576247,"Promoter (<=1kb)",57661,"PHRF1",0.603219055
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr11",615866,616366,"Promoter (<=1kb)",3665,"IRF7",568335,568835,"Promoter (<=1kb)",100506211,"MIR210HG",0.502777157
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",680337,680837,"Promoter (<=1kb)",10272,"FSTL3",663021,663521,"Promoter (<=1kb)",55658,"RNF126",0.541291979
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",680337,680837,"Promoter (<=1kb)",10272,"FSTL3",639532,640032,"Promoter (<=1kb)",27006,"FGF22",0.568560547
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",714781,715281,"Promoter (<=1kb)",79006,"METRN",695154,695654,"Promoter (<=1kb)",146330,"FBXL16",0.525986301
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",714781,715281,"Promoter (<=1kb)",79006,"METRN",721195,721695,"Promoter (<=1kb)",65990,"ANTKMT",0.518285277
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",714781,715281,"Promoter (<=1kb)",79006,"METRN",679706,680206,"Promoter (<=1kb)",105371184,"STUB1-DT",0.579233499
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr12",949428,949928,"Promoter (<=1kb)",5893,"RAD52",990942,991442,"Promoter (<=1kb)",23085,"ERC1",0.586177257
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr4",1009580,1010080,"Promoter (<=1kb)",53834,"FGFRL1",992522,993022,"Promoter (<=1kb)",10861,"SLC26A1",0.653269267
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr4",1009580,1010080,"Promoter (<=1kb)",53834,"FGFRL1",972888,973388,"Promoter (<=1kb)",1609,"DGKQ",0.507091157
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr4",1009580,1010080,"Promoter (<=1kb)",53834,"FGFRL1",973400,973900,"Promoter (<=1kb)",1609,"DGKQ",0.522395512
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr4",1009580,1010080,"Promoter (<=1kb)",53834,"FGFRL1",1011239,1011739,"Promoter (<=1kb)",53834,"FGFRL1",0.620159823
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr4",1011239,1011739,"Promoter (<=1kb)",53834,"FGFRL1",1009580,1010080,"Promoter (<=1kb)",53834,"FGFRL1",0.620159823
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr1",1208286,1208786,"Promoter (1-2kb)",8784,"TNFRSF18",1231818,1232318,"Promoter (<=1kb)",126792,"B3GALT6",0.500130823
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",1248258,1248758,"Promoter (<=1kb)",90007,"MIDN",1266353,1266853,"Promoter (<=1kb)",1153,"CIRBP",0.515398445
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr1",1308294,1308794,"Promoter (<=1kb)",126789,"PUSL1",1330297,1330797,"Promoter (<=1kb)",83756,"TAS1R3",0.561430845
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr1",1308294,1308794,"Promoter (<=1kb)",126789,"PUSL1",1349243,1349743,"Promoter (<=1kb)",1855,"DVL1",0.527337638
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr1",1308294,1308794,"Promoter (<=1kb)",126789,"PUSL1",1324524,1325024,"Promoter (<=1kb)",54973,"INTS11",0.539802526
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr1",1308294,1308794,"Promoter (<=1kb)",126789,"PUSL1",1307710,1308210,"Promoter (<=1kb)",116983,"ACAP3",0.577440165
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",1308843,1309343,"Promoter (<=1kb)",7329,"UBE2I",1332127,1332627,"Promoter (1-2kb)",8938,"BAIAP3",0.566559685
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",1308843,1309343,"Promoter (<=1kb)",7329,"UBE2I",1351584,1352084,"Promoter (<=1kb)",115939,"TSR3",0.61131347
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",1308843,1309343,"Promoter (<=1kb)",7329,"UBE2I",1342986,1343486,"Promoter (<=1kb)",8938,"BAIAP3",0.591136579
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr17",1764262,1764762,"Promoter (1-2kb)",5176,"SERPINF1",1716260,1716760,"Promoter (<=1kb)",124997,"WDR81",0.534458071
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",1827136,1827636,"Promoter (<=1kb)",3029,"HAGH",1782597,1783097,"Promoter (<=1kb)",10101,"NUBP2",0.600385555
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",1943108,1943608,"Promoter (<=1kb)",51734,"MSRB1",1959244,1959744,"Promoter (<=1kb)",4716,"NDUFB10",0.534994901
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",1943108,1943608,"Promoter (<=1kb)",51734,"MSRB1",1992114,1992614,"Promoter (<=1kb)",9143,"SYNGR3",0.644660687
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",1943108,1943608,"Promoter (<=1kb)",51734,"MSRB1",1971706,1972206,"Promoter (<=1kb)",10607,"TBL3",0.606035259
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",1943108,1943608,"Promoter (<=1kb)",51734,"MSRB1",1964691,1965191,"Promoter (<=1kb)",6187,"RPS2",0.670791695
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",1943108,1943608,"Promoter (<=1kb)",51734,"MSRB1",1983793,1984293,"Promoter (<=1kb)",124056,"NOXO1",0.674385812
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",1992114,1992614,"Promoter (<=1kb)",9143,"SYNGR3",1959244,1959744,"Promoter (<=1kb)",4716,"NDUFB10",0.579614667
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",1992114,1992614,"Promoter (<=1kb)",9143,"SYNGR3",1964691,1965191,"Promoter (<=1kb)",6187,"RPS2",0.663590201
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",1992114,1992614,"Promoter (<=1kb)",9143,"SYNGR3",1971706,1972206,"Promoter (<=1kb)",10607,"TBL3",0.576059246
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",1992114,1992614,"Promoter (<=1kb)",9143,"SYNGR3",1943108,1943608,"Promoter (<=1kb)",51734,"MSRB1",0.644660687
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",1992114,1992614,"Promoter (<=1kb)",9143,"SYNGR3",1983793,1984293,"Promoter (<=1kb)",124056,"NOXO1",0.691396411
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",2009606,2010106,"Promoter (<=1kb)",283869,"NPW",1983793,1984293,"Promoter (<=1kb)",124056,"NOXO1",0.548399053
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",2009606,2010106,"Promoter (<=1kb)",283869,"NPW",1964691,1965191,"Promoter (<=1kb)",6187,"RPS2",0.502057371
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2041918,2042418,"Promoter (<=1kb)",2872,"MKNK2",2061378,2061878,"Distal Intergenic",2872,"MKNK2",0.54904969
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2041918,2042418,"Promoter (<=1kb)",2872,"MKNK2",2049864,2050364,"Promoter (<=1kb)",2872,"MKNK2",0.621919044
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2041918,2042418,"Promoter (<=1kb)",2872,"MKNK2",2015257,2015757,"Promoter (<=1kb)",55643,"BTBD2",0.57573348
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2041918,2042418,"Promoter (<=1kb)",2872,"MKNK2",2051008,2051508,"Promoter (<=1kb)",2872,"MKNK2",0.606583781
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2051008,2051508,"Promoter (<=1kb)",2872,"MKNK2",2041918,2042418,"Promoter (<=1kb)",2872,"MKNK2",0.606583781
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2051008,2051508,"Promoter (<=1kb)",2872,"MKNK2",2049864,2050364,"Promoter (<=1kb)",2872,"MKNK2",0.570619653
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2051008,2051508,"Promoter (<=1kb)",2872,"MKNK2",2015257,2015757,"Promoter (<=1kb)",55643,"BTBD2",0.539432995
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2051008,2051508,"Promoter (<=1kb)",2872,"MKNK2",2085261,2085761,"Promoter (<=1kb)",126308,"MOB3A",0.568314079
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2051008,2051508,"Promoter (<=1kb)",2872,"MKNK2",2061378,2061878,"Distal Intergenic",2872,"MKNK2",0.5099124
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2051008,2051508,"Promoter (<=1kb)",2872,"MKNK2",2096524,2097024,"Promoter (<=1kb)",113177,"IZUMO4",0.672565815
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2061378,2061878,"Distal Intergenic",2872,"MKNK2",2041918,2042418,"Promoter (<=1kb)",2872,"MKNK2",0.54904969
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2061378,2061878,"Distal Intergenic",2872,"MKNK2",2015257,2015757,"Promoter (<=1kb)",55643,"BTBD2",0.550372988
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2061378,2061878,"Distal Intergenic",2872,"MKNK2",2051008,2051508,"Promoter (<=1kb)",2872,"MKNK2",0.5099124
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2061378,2061878,"Distal Intergenic",2872,"MKNK2",2049864,2050364,"Promoter (<=1kb)",2872,"MKNK2",0.518883587
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2061378,2061878,"Distal Intergenic",2872,"MKNK2",2085261,2085761,"Promoter (<=1kb)",126308,"MOB3A",0.569056234
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2061378,2061878,"Distal Intergenic",2872,"MKNK2",2096524,2097024,"Promoter (<=1kb)",113177,"IZUMO4",0.672692161
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2096524,2097024,"Promoter (<=1kb)",113177,"IZUMO4",2085261,2085761,"Promoter (<=1kb)",126308,"MOB3A",0.658727897
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2096524,2097024,"Promoter (<=1kb)",113177,"IZUMO4",2061378,2061878,"Distal Intergenic",2872,"MKNK2",0.672692161
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2096524,2097024,"Promoter (<=1kb)",113177,"IZUMO4",2049864,2050364,"Promoter (<=1kb)",2872,"MKNK2",0.68735902
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",2096524,2097024,"Promoter (<=1kb)",113177,"IZUMO4",2051008,2051508,"Promoter (<=1kb)",2872,"MKNK2",0.672565815
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr11",2444657,2445157,"Promoter (<=1kb)",3784,"KCNQ1",2400280,2400780,"Promoter (<=1kb)",10078,"TSSC4",0.565633261
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",2537585,2538085,"Promoter (<=1kb)",5170,"PDPK1",2513607,2514107,"Promoter (<=1kb)",51005,"AMDHD2",0.612700712
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr16",2537585,2538085,"Promoter (<=1kb)",5170,"PDPK1",2531810,2532310,"Promoter (<=1kb)",100422974,"MIR3178",0.591130571
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr19",3572564,3573064,"Promoter (<=1kb)",10362,"HMG20B",3557453,3557953,"Promoter (<=1kb)",126321,"MFSD12",0.596530104
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr17",3668356,3668856,"Promoter (<=1kb)",30851,"TAX1BP3",3695913,3696413,"Promoter (<=1kb)",100533970,"P2RX5-TAX1BP3",0.568378248
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr17",3668356,3668856,"Promoter (<=1kb)",30851,"TAX1BP3",3710955,3711455,"Distal Intergenic",3682,"ITGAE",0.610441941
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr17",3710955,3711455,"Distal Intergenic",3682,"ITGAE",3668356,3668856,"Promoter (<=1kb)",30851,"TAX1BP3",0.610441941
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr17",3710955,3711455,"Distal Intergenic",3682,"ITGAE",3723605,3724105,"Promoter (<=1kb)",3682,"ITGAE",0.51879114
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr17",3710955,3711455,"Distal Intergenic",3682,"ITGAE",3682919,3683419,"Promoter (<=1kb)",5026,"P2RX5",0.5951526
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr17",3710955,3711455,"Distal Intergenic",3682,"ITGAE",3695913,3696413,"Promoter (<=1kb)",100533970,"P2RX5-TAX1BP3",0.621487259
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr3",3799106,3799606,"Promoter (<=1kb)",57633,"LRRN1",3798562,3799062,"Promoter (<=1kb)",57633,"LRRN1",0.56054186
"Colon-Transverse","B Lymphocyte","old vs mid","INCREASE","chr17",3914230,3914730,"Promoter (1-2kb)",5023,"P2RX1",3911232,3911732,"Intron (ENST00000572418.1/5023, intron 1 of 10)",5023,"P2RX1",0.594032469
